ce_cms_fog  | 2025-07-28 11:30:22,242 - INFO - Starting CE-CMS Fog Layer Proxy
ce_cms_fog  | 2025-07-28 11:30:47,426 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:47] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:48,441 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:48] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:48,939 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:48] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:48,944 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:48] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:49,456 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:49] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:50,471 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:50] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:51,489 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:51] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:52,506 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:52] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:53,520 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:53] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:53,559 - INFO - 172.20.0.1 - - [28/Jul/2025 11:30:53] "HEAD /health HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:53,974 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:53] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:53,978 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:53] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:54,535 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:54] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:55,551 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:55] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:56,566 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:56] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:57,040 - INFO - 127.0.0.1 - - [28/Jul/2025 11:30:57] "GET /health HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:57,581 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:57] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:58,597 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:58] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:59,007 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:59] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:59,012 - INFO - 172.20.0.5 - - [28/Jul/2025 11:30:59] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:30:59,611 - INFO - 172.20.0.2 - - [28/Jul/2025 11:30:59] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:00,629 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:00] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:01,652 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:01] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:02,673 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:02] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:03,693 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:03] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:04,041 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:04] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:04,045 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:04] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:04,708 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:04] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:05,724 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:05] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:06,740 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:06] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:07,755 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:07] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:08,771 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:08] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:09,078 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:09] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:09,082 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:09] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:09,776 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:09] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:10,791 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:10] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:11,806 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:11] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:12,991 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:12] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:14,015 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:14] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:14,105 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:14] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:14,110 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:14] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:15,035 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:15] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:16,057 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:16] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:17,079 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:17] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:18,132 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:18] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:19,143 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:19] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:19,148 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:19] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:19,159 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:19] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:20,178 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:20] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:21,199 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:21] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:22,223 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:22] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:23,244 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:23] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:24,182 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:24] "GET /network_status HTTP/1.1" 200 -
