ce_cms_device  | 2025-07-28 11:30:23,048 - INFO - ESA initialized for device vr_device_9080
ce_cms_device  | 2025-07-28 11:31:44,332 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:44] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:31:49,378 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:49] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:31:49,382 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:49] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:31:54,412 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:54] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:31:54,418 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:54] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:31:59,460 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:59] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:31:59,464 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:59] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:04,492 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:04] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:04,496 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:04] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:09,523 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:09] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:09,527 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:09] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:14,555 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:14] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:14,559 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:14] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:19,585 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:19] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:19,589 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:19] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:24,617 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:24] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:24,621 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:24] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:29,650 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:29] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:29,654 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:29] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:34,683 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:34] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:34,687 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:34] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:39,709 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:39] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:39,714 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:39] "GET /sensor_data HTTP/1.1" 200 -
